scenario;vendeur;carte;set;etat;langue;foil;pxd;quantite;prix_unitaire;ligne_total;fdp_vendeur;total_vendeur
min_prix_min_vendeurs;bradpitkeeper;Ralliement des ancêtres;Destin reforgé;EX;fr;no;;1;0,45;0,45;4,10;29,35
min_prix_min_vendeurs;bradpitkeeper;Reflet mystique;Kaldheim;NM;fr;no;;2;1,75;3,50;4,10;29,35
min_prix_min_vendeurs;bradpitkeeper;Renégat de Narnam;La révolte éthérique;NM;en;no;;3;0,25;0,75;4,10;29,35
min_prix_min_vendeurs;bradpitkeeper;Tueur de géant // Petit bois;Throne of Eldraine: Extras;NM;en;no;;1;0,45;0,45;4,10;29,35
min_prix_min_vendeurs;bradpitkeeper;Vengeance grandissante;Obscure Ascension;NM;fr;no;;4;0,95;3,80;4,10;29,35
min_prix_min_vendeurs;bradpitkeeper;Éveilleur sangfoudre;Édition de base 2020;NM;fr;no;;2;0,60;1,20;4,10;29,35
min_prix_min_vendeurs;maglaf88;Amer calvaire;Vision de l'Avenir;GD;fr;no;;1;3,38;3,38;4,10;16,54
min_prix_min_vendeurs;maglaf88;Anarchomancien gobelin;Horizons du Modern 2;EX;fr;no;;3;0,23;0,69;4,10;16,54
min_prix_min_vendeurs;maglaf88;Anarchomancien gobelin (V.1);Horizons du Modern 2: Extras;EX;fr;no;;1;0,16;0,16;4,10;16,54
min_prix_min_vendeurs;maglaf88;Aperçu de l'impossible;Horizons du Modern 3;EX;en;no;;1;0,12;0,12;4,10;16,54
min_prix_min_vendeurs;maglaf88;Chêne de course;Horizons du Modern 2;EX;fr;no;;4;0,71;2,84;4,10;16,54
min_prix_min_vendeurs;maglaf88;Communion avec les dieux;Eternal Masters;EX;en;no;;4;0,15;0,60;4,10;16,54
min_prix_min_vendeurs;maglaf88;Couvécaille indolent;Horizons du Modern 3;EX;fr;no;;3;0,21;0,63;4,10;16,54
min_prix_min_vendeurs;maglaf88;Délivrance du druide;Modern Masters 2017;EX;en;no;;4;0,15;0,60;4,10;16,54
min_prix_min_vendeurs;maglaf88;Grizzlis;Septième Edition;LP;fr;no;;1;0,05;0,05;4,10;16,54
min_prix_min_vendeurs;maglaf88;Jiang Yanggu, façonneur de la forêt;La guerre des Planeswalkers;EX;fr;no;;2;0,13;0,26;4,10;16,54
min_prix_min_vendeurs;maglaf88;Messe noire;Ere Glaciaire;PL;fr;no;1,00;1;0,83;0,83;4,10;16,54
min_prix_min_vendeurs;maglaf88;Relai zingant;Horizons du Modern 2;EX;en;no;;1;0,11;0,11;4,10;16,54
min_prix_min_vendeurs;maglaf88;Relai zingant (V.1);Horizons du Modern 2: Extras;EX;fr;no;;2;0,13;0,26;4,10;16,54
min_prix_min_vendeurs;maglaf88;Retour au pays;Dominaria Remastered;EX;fr;no;;1;1,00;1,00;4,10;16,54
min_prix_min_vendeurs;maglaf88;Voyageur damné;Commander Legends;EX;fr;no;;3;0,09;0,27;4,10;16,54
min_prix_min_vendeurs;maglaf88;Éveilleur sangfoudre;Édition de base 2020;EX;fr;no;;1;0,26;0,26;4,10;16,54
min_prix_min_vendeurs;maglaf88;Éveilleur sangfoudre;Édition de base 2020;EX;en;no;;1;0,38;0,38;4,10;16,54
